Ano,Mes,Semana,Regiao,Sub_Regiao,Pais,UnidMaior,UnidMenor,Especie,Categoria,TotalCasos,TotalNaoConfirmados
1970,0,0,Caribbean,Caribbean,Grenada,NA,NA,Bovines,Bovines,44,NA
1970,0,0,Caribbean,Caribbean,Grenada,NA,NA,Cats,Cats,4,NA
1970,0,0,Caribbean,Caribbean,Grenada,NA,NA,Dogs,Dogs,5,NA
1970,0,0,Caribbean,Caribbean,Grenada,NA,NA,Humans,Humans,1,NA
1970,0,0,Caribbean,Caribbean,Grenada,NA,NA,Other Domestic,Other Domestic,1,NA
1970,0,0,Caribbean,Caribbean,Grenada,NA,NA,Wildlife,Other Wild Lives,43,NA
1970,0,0,Caribbean,Caribbean,Trinidad and Tobago,NA,NA,Dogs,Dogs,1,NA
1970,0,0,Latin America,Andean Area,Bolivia,NA,NA,Bovines,Bovines,82,NA
1970,0,0,Latin America,Andean Area,Bolivia,NA,NA,Cats,Cats,50,NA
1970,0,0,Latin America,Andean Area,Bolivia,NA,NA,Dogs,Dogs,276,NA
1970,0,0,Latin America,Andean Area,Bolivia,NA,NA,Humans,Humans,1,NA
1970,0,0,Latin America,Andean Area,Bolivia,NA,NA,Other Domestic,Other Domestic,17,NA
1970,0,0,Latin America,Andean Area,Bolivia,NA,NA,Wildlife,Other Wild Lives,1,NA
1970,0,0,Latin America,Andean Area,Colombia,NA,NA,Bovines,Bovines,168,NA
1970,0,0,Latin America,Andean Area,Colombia,NA,NA,Cats,Cats,507,NA
1970,0,0,Latin America,Andean Area,Colombia,NA,NA,Dogs,Dogs,9421,NA
1970,0,0,Latin America,Andean Area,Colombia,NA,NA,Humans,Humans,32,NA
1970,0,0,Latin America,Andean Area,Colombia,NA,NA,Other Domestic,Other Domestic,37,NA
1970,0,0,Latin America,Andean Area,Colombia,NA,NA,Wildlife,Other Wild Lives,81,NA
1970,0,0,Latin America,Andean Area,Ecuador,NA,NA,Bovines,Bovines,21,NA
1970,0,0,Latin America,Andean Area,Ecuador,NA,NA,Cats,Cats,29,NA
1970,0,0,Latin America,Andean Area,Ecuador,NA,NA,Dogs,Dogs,918,NA
1970,0,0,Latin America,Andean Area,Ecuador,NA,NA,Humans,Humans,19,NA
1970,0,0,Latin America,Andean Area,Ecuador,NA,NA,Other Domestic,Other Domestic,4,NA
1970,0,0,Latin America,Andean Area,Ecuador,NA,NA,Wildlife,Other Wild Lives,5,NA
1970,0,0,Latin America,Andean Area,Peru,NA,NA,Bovines,Bovines,53,NA
1970,0,0,Latin America,Andean Area,Peru,NA,NA,Cats,Cats,56,NA
1970,0,0,Latin America,Andean Area,Peru,NA,NA,Dogs,Dogs,1048,NA
1970,0,0,Latin America,Andean Area,Peru,NA,NA,Humans,Humans,11,NA
1970,0,0,Latin America,Andean Area,Peru,NA,NA,Other Domestic,Other Domestic,9,NA
1970,0,0,Latin America,Andean Area,Peru,NA,NA,Wildlife,Other Wild Lives,9,NA
1970,0,0,Latin America,Andean Area,Venezuela,NA,NA,Bovines,Bovines,51,NA
1970,0,0,Latin America,Andean Area,Venezuela,NA,NA,Cats,Cats,42,NA
1970,0,0,Latin America,Andean Area,Venezuela,NA,NA,Dogs,Dogs,561,NA
1970,0,0,Latin America,Andean Area,Venezuela,NA,NA,Humans,Humans,13,NA
1970,0,0,Latin America,Andean Area,Venezuela,NA,NA,Other Domestic,Other Domestic,2,NA
1970,0,0,Latin America,Andean Area,Venezuela,NA,NA,Wildlife,Other Wild Lives,8,NA
1970,0,0,Latin America,Brazil,Brazil,NA,NA,Bovines,Bovines,2572,NA
1970,0,0,Latin America,Brazil,Brazil,NA,NA,Cats,Cats,307,NA
1970,0,0,Latin America,Brazil,Brazil,NA,NA,Dogs,Dogs,2913,NA
1970,0,0,Latin America,Brazil,Brazil,NA,NA,Humans,Humans,111,NA
1970,0,0,Latin America,Brazil,Brazil,NA,NA,Other Domestic,Other Domestic,110,NA
1970,0,0,Latin America,Brazil,Brazil,NA,NA,Wildlife,Other Wild Lives,10,NA
1970,0,0,Latin America,Central America,Belize,NA,NA,Bovines,Bovines,14,NA
1970,0,0,Latin America,Central America,Belize,NA,NA,Dogs,Dogs,44,NA
1970,0,0,Latin America,Central America,Belize,NA,NA,Humans,Humans,3,NA
1970,0,0,Latin America,Central America,Belize,NA,NA,Other Domestic,Other Domestic,3,NA
1970,0,0,Latin America,Central America,Costa Rica,NA,NA,Bovines,Bovines,7,NA
1970,0,0,Latin America,Central America,Costa Rica,NA,NA,Cats,Cats,6,NA
1970,0,0,Latin America,Central America,Costa Rica,NA,NA,Dogs,Dogs,47,NA
1970,0,0,Latin America,Central America,Costa Rica,NA,NA,Humans,Humans,1,NA
1970,0,0,Latin America,Central America,Costa Rica,NA,NA,Other Domestic,Other Domestic,4,NA
1970,0,0,Latin America,Central America,Costa Rica,NA,NA,Wildlife,Other Wild Lives,2,NA
1970,0,0,Latin America,Central America,El Salvador,NA,NA,Bovines,Bovines,13,NA
1970,0,0,Latin America,Central America,El Salvador,NA,NA,Dogs,Dogs,1,NA
1970,0,0,Latin America,Central America,El Salvador,NA,NA,Humans,Humans,6,NA
1970,0,0,Latin America,Central America,El Salvador,NA,NA,Other Domestic,Other Domestic,1,NA
1970,0,0,Latin America,Central America,Guatemala,NA,NA,Bovines,Bovines,7,NA
1970,0,0,Latin America,Central America,Guatemala,NA,NA,Cats,Cats,4,NA
1970,0,0,Latin America,Central America,Guatemala,NA,NA,Dogs,Dogs,215,NA
1970,0,0,Latin America,Central America,Guatemala,NA,NA,Humans,Humans,1,NA
1970,0,0,Latin America,Central America,Guatemala,NA,NA,Other Domestic,Other Domestic,1,NA
1970,0,0,Latin America,Central America,Honduras,NA,NA,Bovines,Bovines,54,NA
1970,0,0,Latin America,Central America,Honduras,NA,NA,Cats,Cats,4,NA
1970,0,0,Latin America,Central America,Honduras,NA,NA,Dogs,Dogs,98,NA
1970,0,0,Latin America,Central America,Honduras,NA,NA,Humans,Humans,3,NA
1970,0,0,Latin America,Central America,Honduras,NA,NA,Other Domestic,Other Domestic,3,NA
1970,0,0,Latin America,Central America,Nicaragua,NA,NA,Bovines,Bovines,2,NA
1970,0,0,Latin America,Central America,Nicaragua,NA,NA,Cats,Cats,14,NA
1970,0,0,Latin America,Central America,Nicaragua,NA,NA,Dogs,Dogs,154,NA
1970,0,0,Latin America,Central America,Nicaragua,NA,NA,Humans,Humans,1,NA
1970,0,0,Latin America,Central America,Nicaragua,NA,NA,Other Domestic,Other Domestic,1,NA
1970,0,0,Latin America,Central America,Panama,NA,NA,Bovines,Bovines,37,NA
1970,0,0,Latin America,Central America,Panama,NA,NA,Dogs,Dogs,20,NA
1970,0,0,Latin America,Latin Caribbean,Cuba,NA,NA,Cats,Cats,35,NA
1970,0,0,Latin America,Latin Caribbean,Cuba,NA,NA,Dogs,Dogs,72,NA
1970,0,0,Latin America,Latin Caribbean,Cuba,NA,NA,Humans,Humans,1,NA
1970,0,0,Latin America,Latin Caribbean,Cuba,NA,NA,Other Domestic,Other Domestic,7,NA
1970,0,0,Latin America,Latin Caribbean,Cuba,NA,NA,Wildlife,Other Wild Lives,29,NA
1970,0,0,Latin America,Latin Caribbean,Dominican Republic,NA,NA,Cats,Cats,21,NA
1970,0,0,Latin America,Latin Caribbean,Dominican Republic,NA,NA,Dogs,Dogs,171,NA
1970,0,0,Latin America,Latin Caribbean,Dominican Republic,NA,NA,Humans,Humans,6,NA
1970,0,0,Latin America,Latin Caribbean,Dominican Republic,NA,NA,Wildlife,Other Wild Lives,2,NA
1970,0,0,Latin America,Latin Caribbean,Haiti,NA,NA,Cats,Cats,1,NA
1970,0,0,Latin America,Latin Caribbean,Haiti,NA,NA,Dogs,Dogs,54,NA
1970,0,0,Latin America,Mexico,Mexico,NA,NA,Bovines,Bovines,969,NA
1970,0,0,Latin America,Mexico,Mexico,NA,NA,Cats,Cats,148,NA
1970,0,0,Latin America,Mexico,Mexico,NA,NA,Dogs,Dogs,4557,NA
1970,0,0,Latin America,Mexico,Mexico,NA,NA,Humans,Humans,65,NA
1970,0,0,Latin America,Mexico,Mexico,NA,NA,Other Domestic,Other Domestic,93,NA
1970,0,0,Latin America,Mexico,Mexico,NA,NA,Wildlife,Other Wild Lives,47,NA
1970,0,0,Latin America,South Cone,Argentina,NA,NA,Bovines,Bovines,221,NA
1970,0,0,Latin America,South Cone,Argentina,NA,NA,Cats,Cats,85,NA
