Ano,Regiao,Sub_Regiao,Pais,Mes,GeoCodUnidMaior,UnidMaior,GeoCodUnidMenor,UnidMenor,Especie,Categoria,TotalCasos,TotalNaoConfirmados
1970,América Latina,Cono Sur,Argentina,0,...,Sin Informacion,...,Sin Informacion,Perros,Perros,671,NULL
1970,América Latina,América Central,Belice,0,...,Sin Informacion,...,Sin Informacion,Perros,Perros,44,NULL
1970,América Latina,Área Andina,Bolivia,0,...,Sin Informacion,...,Sin Informacion,Perros,Perros,276,NULL
1970,América Latina,Brasil,Brasil,0,...,Sin Informacion,...,Sin Informacion,Perros,Perros,2913,NULL
1970,América del Norte,Canadá,Canadá,0,...,Sin Informacion,...,Sin Informacion,Perros,Perros,130,NULL
1970,América Latina,Cono Sur,Chile,0,...,Sin Informacion,...,Sin Informacion,Perros,Perros,12,NULL
1970,América Latina,Área Andina,Colombia,0,...,Sin Informacion,...,Sin Informacion,Perros,Perros,9421,NULL
1970,América Latina,América Central,Costa Rica,0,...,Sin Informacion,...,Sin Informacion,Perros,Perros,47,NULL
1970,América Latina,Caribe Latino,Cuba,0,...,Sin Informacion,...,Sin Informacion,Perros,Perros,72,NULL
1970,América Latina,Caribe Latino,República Dominicana,0,...,Sin Informacion,...,Sin Informacion,Perros,Perros,171,NULL
1970,América Latina,Área Andina,Ecuador,0,...,Sin Informacion,...,Sin Informacion,Perros,Perros,918,NULL
1970,Caribe,Caribe,Granada,0,...,Sin Informacion,...,Sin Informacion,Perros,Perros,5,NULL
1970,América Latina,América Central,Guatemala,0,...,Sin Informacion,...,Sin Informacion,Perros,Perros,215,NULL
1970,América Latina,América Central,Honduras,0,...,Sin Informacion,...,Sin Informacion,Perros,Perros,98,NULL
1970,América Latina,Caribe Latino,Haití,0,...,Sin Informacion,...,Sin Informacion,Perros,Perros,54,NULL
1970,América Latina,México,México,0,...,Sin Informacion,...,Sin Informacion,Perros,Perros,4557,NULL
1970,América Latina,América Central,Nicaragua,0,...,Sin Informacion,...,Sin Informacion,Perros,Perros,154,NULL
1970,América Latina,América Central,Panamá,0,...,Sin Informacion,...,Sin Informacion,Perros,Perros,20,NULL
1970,América Latina,Área Andina,Perú,0,...,Sin Informacion,...,Sin Informacion,Perros,Perros,1048,NULL
