Ano,Regiao,Sub_Regiao,Pais,Mes,GeoCodUnidMaior,UnidMaior,GeoCodUnidMenor,UnidMenor,Especie,Categoria,TotalCasos,TotalNaoConfirmados
1970,América Latina,Cono Sur,Argentina,0,...,Sin Informacion,...,Sin Informacion,Bovinos,Bovinos,221,NULL
1970,América Latina,Cono Sur,Argentina,0,...,Sin Informacion,...,Sin Informacion,Perros,Perros,671,NULL
1970,América Latina,Cono Sur,Argentina,0,...,Sin Informacion,...,Sin Informacion,Otros Domésticos,Otros Animais Domésticos,23,NULL
1970,América Latina,Cono Sur,Argentina,0,...,Sin Informacion,...,Sin Informacion,Fauna Silvestre,Otros Animais Silvestres,11,NULL
1970,América Latina,Cono Sur,Argentina,0,...,Sin Informacion,...,Sin Informacion,Gatos,Gatos,85,NULL
1970,América Latina,Cono Sur,Argentina,0,...,Sin Informacion,...,Sin Informacion,Humanos,Humanos,11,NULL
1970,América Latina,América Central,Belice,0,...,Sin Informacion,...,Sin Informacion,Humanos,Humanos,3,NULL
1970,América Latina,América Central,Belice,0,...,Sin Informacion,...,Sin Informacion,Otros Domésticos,Otros Animais Domésticos,3,NULL
1970,América Latina,América Central,Belice,0,...,Sin Informacion,...,Sin Informacion,Perros,Perros,44,NULL
1970,América Latina,América Central,Belice,0,...,Sin Informacion,...,Sin Informacion,Bovinos,Bovinos,14,NULL
1970,América Latina,Área Andina,Bolivia,0,...,Sin Informacion,...,Sin Informacion,Bovinos,Bovinos,82,NULL
1970,América Latina,Área Andina,Bolivia,0,...,Sin Informacion,...,Sin Informacion,Perros,Perros,276,NULL
1970,América Latina,Área Andina,Bolivia,0,...,Sin Informacion,...,Sin Informacion,Otros Domésticos,Otros Animais Domésticos,17,NULL
1970,América Latina,Área Andina,Bolivia,0,...,Sin Informacion,...,Sin Informacion,Fauna Silvestre,Otros Animais Silvestres,1,NULL
1970,América Latina,Área Andina,Bolivia,0,...,Sin Informacion,...,Sin Informacion,Humanos,Humanos,1,NULL
