"Ano","Regiao","Sub_Regiao","Pais","ADM0_ISO","Mes","UnidMaior","GID_1","GeoCodUnidMaior","UnidMenor","GID_2","GeoCodUnidMenor","Especie","Categoria","TotalCasos","TotalNaoConfirmados","CASO_VARIANTE","CASO_FILOGEN","CASO_CERTIFICACAO","CASO_DATA_CERTIFIC","CASO_LAB","matchcode"
2008,"América Latina","Cono Sur","Argentina","ARG",11,"Buenos Aires","ARG.1_1","ARG-BAI","Sin Informacion","Sin Informacion","...","Perros","Perros",1,"0","NULL","NULL","P","2008-11-25 09:32:00.787","1",NA
2012,"América Latina","Cono Sur","Argentina","ARG",2,"Buenos Aires","ARG.1_1","ARG-BAI","Villarino","ARG.1.127_1","...","Perros","Perros",1,"0","NULL","","P","2012-03-26 14:04:14.323","1",NA
2008,"América Latina","Cono Sur","Argentina","ARG",11,"Chaco","ARG.3_1","ARG-CHA","Sin Informacion","Sin Informacion","...","Perros","Perros",1,"0","NULL","NULL","P","2009-01-19 14:50:05.037","1",NA
2008,"América Latina","Cono Sur","Argentina","ARG",5,"Chaco","ARG.3_1","ARG-CHA","Sin Informacion","Sin Informacion","...","Perros","Perros",1,"0","NULL","NULL","P","2008-09-15 09:17:42.870","1",NA
2008,"América Latina","Cono Sur","Argentina","ARG",9,"Chaco","ARG.3_1","ARG-CHA","Sin Informacion","Sin Informacion","...","Perros","Perros",1,"0","NULL","NULL","P","2008-11-24 10:49:19.350","1",NA
2008,"América Latina","Cono Sur","Argentina","ARG",4,"Cordoba","ARG.6_1","ARG-CRD","Sin Informacion","Sin Informacion","...","Perros","Perros",1,"0","NULL","NULL","P","2008-09-15 09:17:33.320","1",NA
2012,"América Latina","Cono Sur","Argentina","ARG",12,"Formosa","ARG.9_1","ARG-FRM","Bermejo","ARG.9.1_1","ARG-FRM-10548","Perros","Perros",1,"0","NULL","","P","2013-05-20 13:58:39.707","1","ARG009001"
2013,"América Latina","Cono Sur","Argentina","ARG",2,"Formosa","ARG.9_1","ARG-FRM","Patiño","ARG.9.5_1","ARG-FRM-10551","Perros","Perros",1,"0","NULL","","P","2013-12-17 07:13:55.613","1","ARG009005"
2013,"América Latina","Cono Sur","Argentina","ARG",1,"Formosa","ARG.9_1","ARG-FRM","Patiño","ARG.9.5_1","ARG-FRM-10551","Perros","Perros",1,"0","NULL","","P","2013-12-17 07:13:55.603","1","ARG009005"
2012,"América Latina","Cono Sur","Argentina","ARG",8,"Formosa","ARG.9_1","ARG-FRM","Patiño","ARG.9.5_1","ARG-FRM-10551","Perros","Perros",1,"0","NULL","","P","2012-11-05 12:33:25.350","1","ARG009005"
2012,"América Latina","Cono Sur","Argentina","ARG",10,"Formosa","ARG.9_1","ARG-FRM","Patiño","ARG.9.5_1","ARG-FRM-10551","Perros","Perros",1,"0","NULL","","P","2013-05-23 13:51:10.420","1","ARG009005"
2005,"América Latina","Cono Sur","Argentina","ARG",2,"Formosa","ARG.9_1","ARG-FRM","Pirané","ARG.9.8_1","ARG-FRM-10556","Perros","Perros",1,"0","NULL","NULL","P","2005-10-14 10:41:26.003","1","ARG009008"
2008,"América Latina","Cono Sur","Argentina","ARG",7,"Formosa","ARG.9_1","ARG-FRM","Sin Informacion","Sin Informacion","...","Perros","Perros",1,"0","NULL","NULL","P","2008-09-15 09:18:01.853","1",NA
2008,"América Latina","Cono Sur","Argentina","ARG",6,"Formosa","ARG.9_1","ARG-FRM","Sin Informacion","Sin Informacion","...","Perros","Perros",1,"0","NULL","NULL","P","2008-09-15 09:17:51.103","1",NA
2010,"América Latina","Cono Sur","Argentina","ARG",1,"Jujuy","ARG.10_1","ARG-JUJ","Dr. Manuel Belgrano","ARG.10.1_1","ARG-JUJ-10566","Perros","Perros",1,"0","NULL","","P","2011-12-16 14:12:34.940","1","ARG010002"
2004,"América Latina","Cono Sur","Argentina","ARG",2,"Jujuy","ARG.10_1","ARG-JUJ","Dr. Manuel Belgrano","ARG.10.1_1","ARG-JUJ-10566","Perros","Perros",1,"0","NULL","NULL","P","2004-09-24 11:27:21.060","1","ARG010002"
