"NAME_1","GID_1"
"Buenos Aires","ARG.1_1"
"Catamarca","ARG.2_1"
"Chaco","ARG.3_1"
"Chubut","ARG.4_1"
"Ciudad de Buenos Aires","ARG.5_1"
"Cordoba","ARG.6_1"
"Corrientes","ARG.7_1"
"Entre Rios","ARG.8_1"
"Formosa","ARG.9_1"
"Jujuy","ARG.10_1"
"La Pampa","ARG.11_1"
"La Rioja","ARG.12_1"
"Mendoza","ARG.13_1"
"Misiones","ARG.14_1"
"Neuquen","ARG.15_1"
"Rio Negro","ARG.16_1"
"Salta","ARG.17_1"
"San Juan","ARG.18_1"
"San Luis","ARG.19_1"
"Santa Cruz","ARG.20_1"
"Santa Fe","ARG.21_1"
"Santiago del Estero","ARG.22_1"
"Tierra del Fuego","ARG.23_1"
"Tucuman","ARG.24_1"
"Sin Informacion","Sin Informacion"
