"NAME_1","GID_1"
"Acre","BRA.1_1"
"Alagoas","BRA.2_1"
"Amapa","BRA.3_1"
"Amazonas","BRA.4_1"
"Bahia","BRA.5_1"
"Ceara","BRA.6_1"
"Distrito Federal","BRA.7_1"
"Espirito Santo","BRA.8_1"
"Goias","BRA.9_1"
"Maranhao","BRA.10_1"
"Mato Grosso","BRA.12_1"
"Mato Grosso do Sul","BRA.11_1"
"Minas Gerais","BRA.13_1"
"Para","BRA.14_1"
"Paraiba","BRA.15_1"
"Parana","BRA.16_1"
"Pernambuco","BRA.17_1"
"Piaui","BRA.18_1"
"Rio de Janeiro","BRA.19_1"
"Rio Grande do Norte","BRA.20_1"
"Rio Grande do Sul","BRA.21_1"
"Rondonia","BRA.22_1"
"Roraima","BRA.23_1"
"Santa Catarina","BRA.24_1"
"Sao Paulo","BRA.25_1"
"Sergipe","BRA.26_1"
"Tocantins","BRA.27_1"
"Sin Informacion","Sin Informacion"
