"NAME_1","GID_1"
"Aisen del General Carlos Ibanez del Campo","CHL.1_1"
"Antofagasta","CHL.2_1"
"Araucania","CHL.3_1"
"Arica y Parinacota","CHL.4_1"
"Atacama","CHL.5_1"
"Bio-Bio","CHL.6_1"
"Coquimbo","CHL.7_1"
"Libertador General Bernardo O'Higgins","CHL.8_1"
"Los Lagos","CHL.9_1"
"Los Rios","CHL.10_1"
"Magallanes y Antartica Chilena","CHL.11_1"
"Maule","CHL.12_1"
"Nuble","CHL.13_1"
"Region Metropolitana de Santiago","CHL.14_1"
"Tarapaca","CHL.15_1"
"Valparaiso","CHL.16_1"
"Sin Informacion","Sin Informacion"
"Biobio","CHL.6_1"
