"NAME_1","GID_1"
"Amazonas","COL.1_1"
"Antioquia","COL.2_1"
"Arauca","COL.3_1"
"Atlantico","COL.4_1"
"Bolivar","COL.5_1"
"Boyaca","COL.6_1"
"Caldas","COL.7_1"
"Caqueta","COL.8_1"
"Casanare","COL.9_1"
"Cauca","COL.10_1"
"Cesar","COL.11_1"
"Choco","COL.12_1"
"Cordoba","COL.13_1"
"Cundinamarca","COL.14_1"
"Guainia","COL.15_1"
"Guaviare","COL.16_1"
"Huila","COL.17_1"
"La Guajira","COL.18_1"
"Magdalena","COL.19_1"
"Meta","COL.20_1"
"Narino","COL.21_1"
"Norte de Santander","COL.22_1"
"Putumayo","COL.23_1"
"Quindio","COL.24_1"
"Risaralda","COL.25_1"
"San Andres y Providencia","COL.26_1"
"Santander","COL.27_1"
"Sucre","COL.28_1"
"Tolima","COL.29_1"
"Valle del Cauca","COL.30_1"
"Vaupes","COL.31_1"
"Vichada","COL.32_1"
"Sin Informacion","Sin Informacion"
