"NAME_1","GID_1"
"Azua","DOM.1_1"
"Bahoruco","DOM.2_1"
"Barahona","DOM.3_1"
"Dajabon","DOM.4_1"
"Distrito Nacional","DOM.5_1"
"Duarte","DOM.6_1"
"El Seybo","DOM.7_1"
"Espaillat","DOM.8_1"
"Hato Mayor","DOM.9_1"
"Independencia","DOM.10_1"
"La Altagracia","DOM.11_1"
"La Estrelleta","DOM.12_1"
"La Romana","DOM.13_1"
"La Vega","DOM.14_1"
"Maria Trinidad Sanchez","DOM.15_1"
"Monsenor Nouel","DOM.16_1"
"Monte Cristi","DOM.17_1"
"Monte Plata","DOM.18_1"
"Pedernales","DOM.19_1"
"Peravia","DOM.20_1"
"Puerto Plata","DOM.21_1"
"Salcedo","DOM.22_1"
"Samana","DOM.23_1"
"San Cristobal","DOM.24_1"
"San Jose de Ocoa","DOM.25_1"
"San Juan","DOM.26_1"
"San Pedro de Macoris","DOM.27_1"
"Sanchez Ramirez","DOM.28_1"
"Santiago","DOM.30_1"
"Santiago Rodriguez","DOM.29_1"
"Santo Domingo","DOM.31_1"
"Valverde","DOM.32_1"
"Sin Informacion","Sin Informacion"
"El Seibo","DOM.7_1"
"Elias Pina","DOM.12_1"
"Baoruco","DOM.2_1"
