"NAME_1","GID_1"
"Azuay","ECU.1_1"
"Bolivar","ECU.2_1"
"Canar","ECU.3_1"
"Carchi","ECU.4_1"
"Chimborazo","ECU.5_1"
"Cotopaxi","ECU.6_1"
"El Oro","ECU.7_1"
"Esmeraldas","ECU.8_1"
"Galapagos","ECU.9_1"
"Guayas","ECU.10_1"
"Imbabura","ECU.11_1"
"Loja","ECU.12_1"
"Los Rios","ECU.13_1"
"Manabi","ECU.14_1"
"Morona Santiago","ECU.15_1"
"Napo","ECU.16_1"
"Orellana","ECU.17_1"
"Pastaza","ECU.18_1"
"Pichincha","ECU.19_1"
"Santa Elena","ECU.20_1"
"Santo Domingo de los Tsachilas","ECU.21_1"
"Sucumbios","ECU.22_1"
"Tungurahua","ECU.23_1"
"Zamora Chinchipe","ECU.24_1"
"Sin Informacion","Sin Informacion"
