"NAME_1","GID_1"
"Alta Verapaz","GTM.1_1"
"Baja Verapaz","GTM.2_1"
"Chimaltenango","GTM.3_1"
"Chiquimula","GTM.4_1"
"El Progreso","GTM.5_1"
"Escuintla","GTM.6_1"
"Guatemala","GTM.7_1"
"Huehuetenango","GTM.8_1"
"Izabal","GTM.9_1"
"Jalapa","GTM.10_1"
"Jutiapa","GTM.11_1"
"Peten","GTM.12_1"
"Quezaltenango","GTM.13_1"
"Quiche","GTM.14_1"
"Retalhuleu","GTM.15_1"
"Sacatepequez","GTM.16_1"
"San Marcos","GTM.17_1"
"Santa Rosa","GTM.18_1"
"Solola","GTM.19_1"
"Suchitepequez","GTM.20_1"
"Totonicapan","GTM.21_1"
"Zacapa","GTM.22_1"
"Sin Informacion","Sin Informacion"
"Quetzaltenango","GTM.13_1"
