"NAME_1","GID_1"
"Aguascalientes","MEX.1_1"
"Baja California","MEX.3_1"
"Baja California Sur","MEX.2_1"
"Campeche","MEX.4_1"
"Chiapas","MEX.5_1"
"Chihuahua","MEX.6_1"
"Coahuila","MEX.7_1"
"Colima","MEX.8_1"
"Distrito Federal","MEX.9_1"
"Durango","MEX.10_1"
"Guanajuato","MEX.11_1"
"Guerrero","MEX.12_1"
"Hidalgo","MEX.13_1"
"Jalisco","MEX.14_1"
"Mexico","MEX.15_1"
"Michoacan","MEX.16_1"
"Morelos","MEX.17_1"
"Nayarit","MEX.18_1"
"Nuevo Leon","MEX.19_1"
"Oaxaca","MEX.20_1"
"Puebla","MEX.21_1"
"Queretaro","MEX.22_1"
"Quintana Roo","MEX.23_1"
"San Luis Potosi","MEX.24_1"
"Sinaloa","MEX.25_1"
"Sonora","MEX.26_1"
"Tabasco","MEX.27_1"
"Tamaulipas","MEX.28_1"
"Tlaxcala","MEX.29_1"
"Veracruz","MEX.30_1"
"Yucatan","MEX.31_1"
"Zacatecas","MEX.32_1"
"Sin Informacion","Sin Informacion"
"Coahuila de Zaragoza","MEX.7_1"
"Veracruz de Ignacio de la Llave","MEX.30_1"
"Michoacan de Ocampo","MEX.16_1"
"Queretaro Arteaga","MEX.22_1"
