"NAME_1","GID_1"
"Adjuntas","PRI.1_1"
"Aguada","PRI.2_1"
"Aguadilla","PRI.3_1"
"Aguas Buenas","PRI.4_1"
"Aibonito","PRI.5_1"
"Anasco","PRI.6_1"
"Arecibo","PRI.7_1"
"Arroyo","PRI.8_1"
"Barceloneta","PRI.9_1"
"Barranquitas","PRI.10_1"
"Bayamon","PRI.11_1"
"Cabo Rojo","PRI.12_1"
"Caguas","PRI.13_1"
"Camuy","PRI.14_1"
"Canovanas","PRI.15_1"
"Carolina","PRI.16_1"
"Catano","PRI.17_1"
"Cayey","PRI.18_1"
"Ceiba","PRI.19_1"
"Ciales","PRI.20_1"
"Cidra","PRI.21_1"
"Coamo","PRI.22_1"
"Comerio","PRI.23_1"
"Corozal","PRI.24_1"
"Culebra","PRI.25_1"
"Dorado","PRI.26_1"
"Fajardo","PRI.27_1"
"Florida","PRI.28_1"
"Guanica","PRI.29_1"
"Guayama","PRI.30_1"
"Guayanilla","PRI.31_1"
"Guaynabo","PRI.32_1"
"Gurabo","PRI.33_1"
"Hatillo","PRI.34_1"
"Hormigueros","PRI.35_1"
"Humacao","PRI.36_1"
"Isabela","PRI.37_1"
"Jayuya","PRI.38_1"
"Juana Diaz","PRI.39_1"
"Juncos","PRI.40_1"
"Lajas","PRI.41_1"
"Lares","PRI.42_1"
"Las Marias","PRI.43_1"
"Las Piedras","PRI.44_1"
"Loiza","PRI.45_1"
"Luquillo","PRI.46_1"
"Manati","PRI.47_1"
"Maricao","PRI.48_1"
"Maunabo","PRI.49_1"
"Mayaguez","PRI.50_1"
"Moca","PRI.51_1"
"Morovis","PRI.52_1"
"Naguabo","PRI.53_1"
"Naranjito","PRI.54_1"
"Orocovis","PRI.55_1"
"Patillas","PRI.56_1"
"Penuelas","PRI.57_1"
"Ponce","PRI.58_1"
"Quebradillas","PRI.59_1"
"Rincon","PRI.60_1"
"Rio Grande","PRI.61_1"
"Sabana Grande","PRI.62_1"
"Salinas","PRI.63_1"
"San German","PRI.64_1"
"San Juan","PRI.65_1"
"San Lorenzo","PRI.66_1"
"San Sebastian","PRI.67_1"
"Santa Isabel","PRI.68_1"
"Toa Alta","PRI.69_1"
"Toa Baja","PRI.70_1"
"Trujillo Alto","PRI.71_1"
"Utuado","PRI.72_1"
"Vega Alta","PRI.73_1"
"Vega Baja","PRI.74_1"
"Vieques","PRI.75_1"
"Villalba","PRI.76_1"
"Yabucoa","PRI.77_1"
"Yauco","PRI.78_1"
"Sin Informacion","Sin Informacion"
