"NAME_1","GID_1"
"Alabama","USA.1_1"
"Alaska","USA.2_1"
"Arizona","USA.3_1"
"Arkansas","USA.4_1"
"California","USA.5_1"
"Colorado","USA.6_1"
"Connecticut","USA.7_1"
"Delaware","USA.8_1"
"District of Columbia","USA.9_1"
"Florida","USA.10_1"
"Georgia","USA.11_1"
"Hawaii","USA.12_1"
"Idaho","USA.13_1"
"Illinois","USA.14_1"
"Indiana","USA.15_1"
"Iowa","USA.16_1"
"Kansas","USA.17_1"
"Kentucky","USA.18_1"
"Louisiana","USA.19_1"
"Maine","USA.20_1"
"Maryland","USA.21_1"
"Massachusetts","USA.22_1"
"Michigan","USA.23_1"
"Minnesota","USA.24_1"
"Mississippi","USA.25_1"
"Missouri","USA.26_1"
"Montana","USA.27_1"
"Nebraska","USA.28_1"
"Nevada","USA.29_1"
"New Hampshire","USA.30_1"
"New Jersey","USA.31_1"
"New Mexico","USA.32_1"
"New York","USA.33_1"
"North Carolina","USA.34_1"
"North Dakota","USA.35_1"
"Ohio","USA.36_1"
"Oklahoma","USA.37_1"
"Oregon","USA.38_1"
"Pennsylvania","USA.39_1"
"Rhode Island","USA.40_1"
"South Carolina","USA.41_1"
"South Dakota","USA.42_1"
"Tennessee","USA.43_1"
"Texas","USA.44_1"
"Utah","USA.45_1"
"Vermont","USA.46_1"
"Virginia","USA.47_1"
"Washington","USA.48_1"
"West Virginia","USA.49_1"
"Wisconsin","USA.50_1"
"Wyoming","USA.51_1"
"Sin Informacion","Sin Informacion"
