"NAME_1","GID_1"
"Amazonas","VEN.1_1"
"Anzoategui","VEN.2_1"
"Apure","VEN.3_1"
"Aragua","VEN.4_1"
"Barinas","VEN.5_1"
"Bolivar","VEN.6_1"
"Carabobo","VEN.7_1"
"Cojedes","VEN.8_1"
"Delta Amacuro","VEN.9_1"
"Dependencias Federales","VEN.10_1"
"Distrito Capital","VEN.11_1"
"Falcon","VEN.12_1"
"Guarico","VEN.13_1"
"Lara","VEN.14_1"
"Merida","VEN.15_1"
"Miranda","VEN.16_1"
"Monagas","VEN.17_1"
"Nueva Esparta","VEN.18_1"
"Portuguesa","VEN.19_1"
"Sucre","VEN.20_1"
"Tachira","VEN.21_1"
"Trujillo","VEN.22_1"
"Vargas","VEN.23_1"
"Yaracuy","VEN.24_1"
"Zulia","VEN.25_1"
"Sin Informacion","Sin Informacion"
