"NAME_2","GID_2"
"almirante brown","ARG.3.1_1"
"bermejo","ARG.3.2_1"
"chacabuco","ARG.3.3_1"
"comandante fernandez","ARG.3.4_1"
"doce de octubre","ARG.3.5_1"
"fray justo santa maria de oro","ARG.3.6_1"
"general belgrano","ARG.3.7_1"
"general donovan","ARG.3.8_1"
"general guemes","ARG.3.9_1"
"independencia","ARG.3.10_1"
"libertad","ARG.3.11_1"
"libertador general san martin","ARG.3.12_1"
"maipu","ARG.3.13_1"
"mayor luis j. fontana","ARG.3.14_1"
"nueve de julio","ARG.3.15_1"
"o'higgins","ARG.3.16_1"
"presidencia de la plaza","ARG.3.17_1"
"primero de mayo","ARG.3.18_1"
"quitilipi","ARG.3.19_1"
"san fernando","ARG.3.20_1"
"san lorenzo","ARG.3.21_1"
"sargento cabral","ARG.3.22_1"
"tapenaga","ARG.3.23_1"
"veinticinco de mayo","ARG.3.24_1"
"sin informacion","Sin Informacion"
