"NAME_2","GID_2"
"abel iturralde","BOL.4.1_1"
"aroma","BOL.4.2_1"
"bautista saavedra","BOL.4.3_1"
"eliodoro camacho","BOL.4.4_1"
"franz tamayo","BOL.4.5_1"
"gualberto villarroel","BOL.4.6_1"
"ingavi","BOL.4.7_1"
"inquisivi","BOL.4.8_1"
"larecaja","BOL.4.9_1"
"loayza","BOL.4.10_1"
"los andes","BOL.4.11_1"
"manco kapac","BOL.4.12_1"
"munecas","BOL.4.13_1"
"nor yungas","BOL.4.14_1"
"omasuyos","BOL.4.15_1"
"pacajes","BOL.4.16_1"
"pedro domingo murillo","BOL.4.17_1"
"sud yungas","BOL.4.18_1"
"sin informacion","Sin Informacion"
"murillo","BOL.4.17_1"
