"NAME_2","GID_2"
"alta floresta d'oeste","BRA.22.1_1"
"alto alegre dos parecis","BRA.22.2_1"
"alto paraiso","BRA.22.3_1"
"alvorada d'oeste","BRA.22.4_1"
"ariquemes","BRA.22.5_1"
"buritis","BRA.22.6_1"
"cacaulandia","BRA.22.7_1"
"cacoal","BRA.22.8_1"
"campo novo de rondonia","BRA.22.9_1"
"candeias do jamari","BRA.22.10_1"
"castanheiras","BRA.22.11_1"
"cerejeiras","BRA.22.12_1"
"chupinguaia","BRA.22.13_1"
"colorado do oeste","BRA.22.14_1"
"corumbiara","BRA.22.15_1"
"costa marques","BRA.22.16_1"
"cujubim","BRA.22.17_1"
"espigao d'oeste","BRA.22.18_1"
"governador jorge teixeira","BRA.22.19_1"
"guajara-mirim","BRA.22.20_1"
"itapua do oeste","BRA.22.21_1"
"jaru","BRA.22.22_1"
"ji-parana","BRA.22.23_1"
"machadinho","BRA.22.24_1"
"ministro andreazza","BRA.22.25_1"
"mirante da serra","BRA.22.26_1"
"monte negro","BRA.22.27_1"
"nova brasilandia d'oeste","BRA.22.28_1"
"nova mamore","BRA.22.29_1"
"nova uniao","BRA.22.30_1"
"novo horizonte do oeste","BRA.22.31_1"
"ouro preto do oeste","BRA.22.32_1"
"parecis","BRA.22.33_1"
"pimenta bueno","BRA.22.34_1"
"pimenteiras do oeste","BRA.22.35_1"
"porto velho","BRA.22.36_1"
"presidente medici","BRA.22.37_1"
"primavera de rondonia","BRA.22.38_1"
"rio crespo","BRA.22.39_1"
"rolim de moura","BRA.22.40_1"
"santa luzia d'oeste","BRA.22.41_1"
"sao felipe d'oeste","BRA.22.42_1"
"sao francisco do guapore","BRA.22.43_1"
"sao miguel do guapore","BRA.22.44_1"
"seringueiras","BRA.22.45_1"
"teixeiropolis","BRA.22.46_1"
"theobroma","BRA.22.47_1"
"urupa","BRA.22.48_1"
"vale do anari","BRA.22.49_1"
"vale do paraiso","BRA.22.50_1"
"vilhena","BRA.22.51_1"
"sin informacion","Sin Informacion"
