"NAME_2","GID_2"
"division no. 1","CAN.1.11_1"
"division no. 10","CAN.1.1_1"
"division no. 11","CAN.1.2_1"
"division no. 12","CAN.1.3_1"
"division no. 13","CAN.1.4_1"
"division no. 14","CAN.1.5_1"
"division no. 15","CAN.1.6_1"
"division no. 16","CAN.1.7_1"
"division no. 17","CAN.1.8_1"
"division no. 18","CAN.1.9_1"
"division no. 19","CAN.1.10_1"
"division no. 2","CAN.1.12_1"
"division no. 3","CAN.1.13_1"
"division no. 4","CAN.1.14_1"
"division no. 5","CAN.1.15_1"
"division no. 6","CAN.1.16_1"
"division no. 7","CAN.1.17_1"
"division no. 8","CAN.1.18_1"
"division no. 9","CAN.1.19_1"
"sin informacion","Sin Informacion"
