"NAME_2","GID_2"
"aguada","COL.27.1_1"
"albania","COL.27.2_1"
"aratoca","COL.27.3_1"
"barbosa","COL.27.4_1"
"barichara","COL.27.5_1"
"barrancabermeja","COL.27.6_1"
"betulia","COL.27.7_1"
"bolivar","COL.27.8_1"
"bucaramanga","COL.27.9_1"
"cabrera","COL.27.10_1"
"california","COL.27.11_1"
"capitanejo","COL.27.12_1"
"carcasi","COL.27.13_1"
"cepita","COL.27.14_1"
"cerrito","COL.27.15_1"
"charala","COL.27.16_1"
"charta","COL.27.17_1"
"chima","COL.27.18_1"
"chipata","COL.27.19_1"
"cimitarra","COL.27.20_1"
"concepcion","COL.27.21_1"
"confines","COL.27.22_1"
"contratacion","COL.27.23_1"
"coromoro","COL.27.24_1"
"curiti","COL.27.25_1"
"el carmen de chucuri","COL.27.26_1"
"el guacamayo","COL.27.27_1"
"el penon","COL.27.28_1"
"el playon","COL.27.29_1"
"encino","COL.27.30_1"
"enciso","COL.27.31_1"
"florian","COL.27.32_1"
"floridablanca","COL.27.33_1"
"galan","COL.27.34_1"
"gambita","COL.27.35_1"
"giron","COL.27.36_1"
"guaca","COL.27.37_1"
"guadalupe","COL.27.38_1"
"guapota","COL.27.39_1"
"guavata","COL.27.40_1"
"guepsa","COL.27.41_1"
"hato","COL.27.42_1"
"jesus maria","COL.27.43_1"
"jordan","COL.27.44_1"
"la belleza","COL.27.45_1"
"la paz","COL.27.46_1"
"landazuri","COL.27.47_1"
"lebrija","COL.27.48_1"
"los santos","COL.27.49_1"
"macaravita","COL.27.50_1"
"malaga","COL.27.51_1"
"matanza","COL.27.52_1"
"mogotes","COL.27.53_1"
"molagavita","COL.27.54_1"
"ocamonte","COL.27.55_1"
"oiba","COL.27.56_1"
"onzaga","COL.27.57_1"
"palmar","COL.27.58_1"
"palmas del socorro","COL.27.59_1"
"paramo","COL.27.60_1"
"piedecuesta","COL.27.61_1"
"pinchote","COL.27.62_1"
"puente nacional","COL.27.63_1"
"puerto parra","COL.27.64_1"
"puerto wilches","COL.27.65_1"
"rionegro","COL.27.66_1"
"sabana de torres","COL.27.67_1"
"san andres de cuerquia","COL.27.68_1"
"san benito","COL.27.69_1"
"san gil","COL.27.70_1"
"san joaquin","COL.27.71_1"
"san jose de miranda","COL.27.72_1"
"san miguel","COL.27.73_1"
"san vicente de chucuri","COL.27.74_1"
"santa barbara","COL.27.75_1"
"santa helena del opon","COL.27.76_1"
"simacota","COL.27.77_1"
"socorro","COL.27.78_1"
"suaita","COL.27.79_1"
"sucre","COL.27.80_1"
"surata","COL.27.81_1"
"tona","COL.27.82_1"
"valle de san jose","COL.27.83_1"
"velez","COL.27.84_1"
"vetas","COL.27.85_1"
"villanueva","COL.27.86_1"
"zapatoca","COL.27.87_1"
"sin informacion","Sin Informacion"
