"NAME_2","GID_2"
"arroyo naranjo","CUB.4.1_1"
"boyeros","CUB.4.2_1"
"centro habana","CUB.4.3_1"
"cerro","CUB.4.4_1"
"cotorro","CUB.4.5_1"
"diez de octubre","CUB.4.6_1"
"guanabacoa","CUB.4.7_1"
"la habana del este","CUB.4.8_1"
"la habana vieja","CUB.4.9_1"
"la lisa","CUB.4.10_1"
"marianao","CUB.4.11_1"
"playa","CUB.4.12_1"
"plaza de la revolucion","CUB.4.13_1"
"regla","CUB.4.14_1"
"san miguel del padron","CUB.4.15_1"
"sin informacion","Sin Informacion"
"madruga","NA"
"bauta","NA"
"artemisa","NA"
"malena del sur","NA"
"nueva paz","NA"
"jaruco","NA"
"10 de octubre","NA"
