"NAME_2","GID_2"
"alfredo baquerizo moreno","ECU.10.1_1"
"balao","ECU.10.2_1"
"balzar","ECU.10.3_1"
"colimes","ECU.10.4_1"
"coronel marcelino mariduena","ECU.10.5_1"
"daule","ECU.10.6_1"
"duran","ECU.10.7_1"
"el empalme","ECU.10.8_1"
"el triunfo","ECU.10.9_1"
"general antonio elizalde","ECU.10.10_1"
"guayaquil","ECU.10.11_1"
"isidro ayora","ECU.10.12_1"
"lomas de sargentillo","ECU.10.13_1"
"milagro","ECU.10.14_1"
"naranjal","ECU.10.15_1"
"naranjito","ECU.10.16_1"
"nobol","ECU.10.17_1"
"palestina","ECU.10.18_1"
"pedro carbo","ECU.10.19_1"
"playas","ECU.10.20_1"
"samborondon","ECU.10.21_1"
"san jacinto de yaguachi","ECU.10.22_1"
"santa lucia","ECU.10.23_1"
"simon bolivar","ECU.10.24_1"
"urbina jado","ECU.10.25_1"
"sin informacion","Sin Informacion"
