"NAME_2","GID_2"
"almolonga","GTM.13.1_1"
"cabrican","GTM.13.2_1"
"cajola","GTM.13.3_1"
"cantel","GTM.13.4_1"
"coatepeque","GTM.13.5_1"
"colomba","GTM.13.6_1"
"concepcion chiquirichapa","GTM.13.7_1"
"el palmar","GTM.13.8_1"
"flores costa cuca","GTM.13.9_1"
"genova","GTM.13.10_1"
"huitan","GTM.13.11_1"
"la esperanza","GTM.13.12_1"
"olintepeque","GTM.13.13_1"
"ostuncalco","GTM.13.14_1"
"palestina de los altos","GTM.13.15_1"
"quetzaltenango","GTM.13.16_1"
"salcaja","GTM.13.17_1"
"san carlos sija","GTM.13.18_1"
"san francisco la union","GTM.13.19_1"
"san martin sacatepequez","GTM.13.20_1"
"san mateo","GTM.13.21_1"
"san miguel siguila","GTM.13.22_1"
"sibilia","GTM.13.23_1"
"zunil","GTM.13.24_1"
"sin informacion","Sin Informacion"
"san juan oztuncalco","GTM.13.14_1"
"zona 1","GTM.13.16_1"
"zona 5 ","GTM.13.16_1"
"concepcion","GTM.13.7_1"
"zona 3","GTM.13.16_1"
"palestina","GTM.13.15_1"
"p.de los altos","GTM.13.15_1"
