"NAME_2","GID_2"
"alubaren","HND.8.1_1"
"cedros","HND.8.2_1"
"curaren","HND.8.3_1"
"distrito central","HND.8.4_1"
"el porvenir","HND.8.5_1"
"guaimaca","HND.8.6_1"
"la libertad","HND.8.7_1"
"la venta","HND.8.8_1"
"lepaterique","HND.8.9_1"
"maraita","HND.8.10_1"
"marale","HND.8.11_1"
"nueva armenia","HND.8.12_1"
"ojojona","HND.8.13_1"
"orica","HND.8.14_1"
"reitoca","HND.8.15_1"
"sabanagrande","HND.8.16_1"
"san antonio de oriente","HND.8.17_1"
"san buenaventura","HND.8.18_1"
"san ignacio","HND.8.19_1"
"san juan de flores","HND.8.20_1"
"san miguelito","HND.8.21_1"
"santa ana","HND.8.22_1"
"santa lucia","HND.8.23_1"
"talanga","HND.8.24_1"
"tatumbla","HND.8.25_1"
"valle de angeles","HND.8.26_1"
"vallecillo","HND.8.27_1"
"villa de san francisco","HND.8.28_1"
"sin informacion","Sin Informacion"
