"NAME_2","GID_2"
"apozol","MEX.32.1_1"
"apulco","MEX.32.2_1"
"atolinga","MEX.32.3_1"
"benito juarez","MEX.32.4_1"
"calera","MEX.32.5_1"
"canitas de felipe pescador","MEX.32.6_1"
"chalchihuites","MEX.32.7_1"
"concepcion del oro","MEX.32.8_1"
"cuauhtemoc","MEX.32.9_1"
"el salvador","MEX.32.10_1"
"fresnillo","MEX.32.11_1"
"genaro codina","MEX.32.12_1"
"general enrique estrada","MEX.32.13_1"
"general francisco r. murguia","MEX.32.14_1"
"general joaquin amaro","MEX.32.15_1"
"general panfilo natera","MEX.32.16_1"
"guadalupe","MEX.32.17_1"
"huanusco","MEX.32.18_1"
"jalpa","MEX.32.19_1"
"jerez","MEX.32.20_1"
"jimenez del teul","MEX.32.21_1"
"juan aldama","MEX.32.22_1"
"juchipila","MEX.32.23_1"
"loreto","MEX.32.24_1"
"luis moya","MEX.32.25_1"
"mazapil","MEX.32.26_1"
"melchor ocampo","MEX.32.27_1"
"mezquital del oro","MEX.32.28_1"
"miguel auza","MEX.32.29_1"
"momax","MEX.32.30_1"
"monte escobedo","MEX.32.31_1"
"morelos","MEX.32.32_1"
"moyahua de estrada","MEX.32.33_1"
"nochistlan de mejia","MEX.32.34_1"
"noria de angeles","MEX.32.35_1"
"ojocaliente","MEX.32.36_1"
"panuco","MEX.32.37_1"
"pinos","MEX.32.38_1"
"rio grande","MEX.32.39_1"
"sain alto","MEX.32.40_1"
"sombrerete","MEX.32.41_1"
"susticacan","MEX.32.42_1"
"tabasco","MEX.32.43_1"
"tepechitlan","MEX.32.44_1"
"tepetongo","MEX.32.45_1"
"teul de gonzalez ortega","MEX.32.46_1"
"tlaltenango de sanchez roman","MEX.32.47_1"
"trinidad garcia de la cadena","MEX.32.48_1"
"valparaiso","MEX.32.49_1"
"vetagrande","MEX.32.50_1"
"villa de cos","MEX.32.51_1"
"villa garcia","MEX.32.52_1"
"villa gonzalez ortega","MEX.32.53_1"
"villa hidalgo","MEX.32.54_1"
"villanueva","MEX.32.55_1"
"zacatecas","MEX.32.56_1"
"sin informacion","Sin Informacion"
