"NAME_2","GID_2"
"acahay","PRY.16.1_1"
"caapucu","PRY.16.2_1"
"carapegua","PRY.16.3_1"
"escobar","PRY.16.4_1"
"general bernardino caballero","PRY.16.5_1"
"la colmena","PRY.16.6_1"
"mbuyapey","PRY.16.7_1"
"paraguari","PRY.16.8_1"
"pirayu","PRY.16.9_1"
"quiindy","PRY.16.10_1"
"quyquyho","PRY.16.11_1"
"san roque gonzalez de santa cruz","PRY.16.12_1"
"sapucai","PRY.16.13_1"
"tebicuarymi","PRY.16.14_1"
"yaguaron","PRY.16.15_1"
"ybycui","PRY.16.16_1"
"ybytimi","PRY.16.17_1"
"sin informacion","Sin Informacion"
