"NAME_2","GID_2"
"candelaria de la frontera","SLV.12.1_1"
"chalchuapa","SLV.12.2_1"
"coatepeque","SLV.12.3_1"
"el congo","SLV.12.4_1"
"el porvenir","SLV.12.5_1"
"lago de coatepeque","SLV.12.6_1"
"lago de guija","SLV.12.7_1"
"masahuat","SLV.12.8_1"
"metapan","SLV.12.9_1"
"san antonio pajonal","SLV.12.10_1"
"san sebastian salitrillo","SLV.12.11_1"
"santa ana","SLV.12.12_1"
"santa rosa guachipilin","SLV.12.13_1"
"santiago de la frontera","SLV.12.14_1"
"texistepeque","SLV.12.15_1"
"sin informacion","Sin Informacion"
"cand.de la frontera","SLV.12.1_1"
