"NAME_2","GID_2"
"adair","USA.16.1_1"
"adams","USA.16.2_1"
"allamakee","USA.16.3_1"
"appanoose","USA.16.4_1"
"audubon","USA.16.5_1"
"benton","USA.16.6_1"
"black hawk","USA.16.7_1"
"boone","USA.16.8_1"
"bremer","USA.16.9_1"
"buchanan","USA.16.10_1"
"buena vista","USA.16.11_1"
"butler","USA.16.12_1"
"calhoun","USA.16.13_1"
"carroll","USA.16.14_1"
"cass","USA.16.15_1"
"cedar","USA.16.16_1"
"cerro gordo","USA.16.17_1"
"cherokee","USA.16.18_1"
"chickasaw","USA.16.19_1"
"clarke","USA.16.20_1"
"clay","USA.16.21_1"
"clayton","USA.16.22_1"
"clinton","USA.16.23_1"
"crawford","USA.16.24_1"
"dallas","USA.16.25_1"
"davis","USA.16.26_1"
"decatur","USA.16.27_1"
"delaware","USA.16.28_1"
"des moines","USA.16.29_1"
"dickinson","USA.16.30_1"
"dubuque","USA.16.31_1"
"emmet","USA.16.32_1"
"fayette","USA.16.33_1"
"floyd","USA.16.34_1"
"franklin","USA.16.35_1"
"fremont","USA.16.36_1"
"greene","USA.16.37_1"
"grundy","USA.16.38_1"
"guthrie","USA.16.39_1"
"hamilton","USA.16.40_1"
"hancock","USA.16.41_1"
"hardin","USA.16.42_1"
"harrison","USA.16.43_1"
"henry","USA.16.44_1"
"howard","USA.16.45_1"
"humboldt","USA.16.46_1"
"ida","USA.16.47_1"
"iowa","USA.16.48_1"
"jackson","USA.16.49_1"
"jasper","USA.16.50_1"
"jefferson","USA.16.51_1"
"johnson","USA.16.52_1"
"jones","USA.16.53_1"
"keokuk","USA.16.54_1"
"kossuth","USA.16.55_1"
"lee","USA.16.56_1"
"linn","USA.16.57_1"
"louisa","USA.16.58_1"
"lucas","USA.16.59_1"
"lyon","USA.16.60_1"
"madison","USA.16.61_1"
"mahaska","USA.16.62_1"
"marion","USA.16.63_1"
"marshall","USA.16.64_1"
"mills","USA.16.65_1"
"mitchell","USA.16.66_1"
"monona","USA.16.67_1"
"monroe","USA.16.68_1"
"montgomery","USA.16.69_1"
"muscatine","USA.16.70_1"
"o'brien","USA.16.71_1"
"osceola","USA.16.72_1"
"page","USA.16.73_1"
"palo alto","USA.16.74_1"
"plymouth","USA.16.75_1"
"pocahontas","USA.16.76_1"
"polk","USA.16.77_1"
"pottawattamie","USA.16.78_1"
"poweshiek","USA.16.79_1"
"ringgold","USA.16.80_1"
"sac","USA.16.81_1"
"scott","USA.16.82_1"
"shelby","USA.16.83_1"
"sioux","USA.16.84_1"
"story","USA.16.85_1"
"tama","USA.16.86_1"
"taylor","USA.16.87_1"
"union","USA.16.88_1"
"van buren","USA.16.89_1"
"wapello","USA.16.90_1"
"warren","USA.16.91_1"
"washington","USA.16.92_1"
"wayne","USA.16.93_1"
"webster","USA.16.94_1"
"winnebago","USA.16.95_1"
"winneshiek","USA.16.96_1"
"woodbury","USA.16.97_1"
"worth","USA.16.98_1"
"wright","USA.16.99_1"
"sin informacion","Sin Informacion"
