"NAME_2","GID_2"
"almirante padilla","VEN.25.1_1"
"baralt","VEN.25.2_1"
"cabimas","VEN.25.3_1"
"catatumbo","VEN.25.4_1"
"colon","VEN.25.5_1"
"francisco javier pulgar","VEN.25.6_1"
"guajira","VEN.25.7_1"
"jesus enrique lossada","VEN.25.8_1"
"jesus maria semprun","VEN.25.9_1"
"la canada de urdaneta","VEN.25.10_1"
"lagunillas","VEN.25.11_1"
"machiques de perija","VEN.25.12_1"
"mara","VEN.25.13_1"
"maracaibo","VEN.25.14_1"
"miranda","VEN.25.15_1"
"rosario de perija","VEN.25.16_1"
"san francisco","VEN.25.17_1"
"santa rita","VEN.25.18_1"
"simon bolivar","VEN.25.19_1"
"sucre","VEN.25.20_1"
"valmore rodriguez","VEN.25.21_1"
"sin informacion","Sin Informacion"
"jesus enrique lozada","VEN.25.8_1"
"paez","VEN.25.7_1"
