"","CAN.1_1","CAN.2_1","CAN.3_1","CAN.4_1","CAN.5_1","CAN.6_1","CAN.7_1","CAN.8_1","CAN.9_1","CAN.10_1","CAN.11_1","CAN.12_1","CAN.13_1"
"CAN.1_1",0,1,0,0,0,1,0,0,0,0,0,1,0
"CAN.2_1",1,0,0,0,0,1,0,0,0,0,0,0,1
"CAN.3_1",0,0,0,0,0,0,0,1,1,0,0,1,0
"CAN.4_1",0,0,0,0,0,0,1,0,0,0,1,0,0
"CAN.5_1",0,0,0,0,0,0,0,0,0,0,1,0,0
"CAN.6_1",1,1,0,0,0,0,0,1,0,0,0,1,1
"CAN.7_1",0,0,0,1,0,0,0,0,0,0,0,0,0
"CAN.8_1",0,0,1,0,0,1,0,0,0,0,1,0,0
"CAN.9_1",0,0,1,0,0,0,0,0,0,0,1,0,0
"CAN.10_1",0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN.11_1",0,0,0,1,1,0,0,1,1,0,0,0,0
"CAN.12_1",1,0,1,0,0,1,0,0,0,0,0,0,0
"CAN.13_1",0,1,0,0,0,1,0,0,0,0,0,0,0
