"","GTM.1_1","GTM.2_1","GTM.3_1","GTM.4_1","GTM.5_1","GTM.6_1","GTM.7_1","GTM.8_1","GTM.9_1","GTM.10_1","GTM.11_1","GTM.12_1","GTM.13_1","GTM.14_1","GTM.15_1","GTM.16_1","GTM.17_1","GTM.18_1","GTM.19_1","GTM.20_1","GTM.21_1","GTM.22_1"
"GTM.1_1",0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
"GTM.2_1",1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"GTM.3_1",0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
"GTM.4_1",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"GTM.5_1",1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"GTM.6_1",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
"GTM.7_1",0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"GTM.8_1",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
"GTM.9_1",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"GTM.10_1",0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"GTM.11_1",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"GTM.12_1",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM.13_1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0
"GTM.14_1",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"GTM.15_1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"GTM.16_1",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM.17_1",0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"GTM.18_1",0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"GTM.19_1",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
"GTM.20_1",0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"GTM.21_1",0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"GTM.22_1",1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
