"","HND.1_1","HND.2_1","HND.3_1","HND.4_1","HND.5_1","HND.6_1","HND.7_1","HND.8_1","HND.9_1","HND.10_1","HND.11_1","HND.12_1","HND.13_1","HND.14_1","HND.15_1","HND.16_1","HND.17_1","HND.18_1"
"HND.1_1",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"HND.2_1",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
"HND.3_1",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
"HND.4_1",0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1
"HND.5_1",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"HND.6_1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"HND.7_1",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"HND.8_1",0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1
"HND.9_1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"HND.10_1",0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"HND.11_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HND.12_1",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
"HND.13_1",0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
"HND.14_1",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"HND.15_1",0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
"HND.16_1",0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0
"HND.17_1",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"HND.18_1",1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
