"","NIC.1_1","NIC.2_1","NIC.3_1","NIC.4_1","NIC.5_1","NIC.6_1","NIC.7_1","NIC.8_1","NIC.9_1","NIC.10_1","NIC.11_1","NIC.12_1","NIC.13_1","NIC.14_1","NIC.15_1","NIC.16_1","NIC.17_1","NIC.18_1"
"NIC.1_1",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"NIC.2_1",1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"NIC.3_1",0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
"NIC.4_1",0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1
"NIC.5_1",0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
"NIC.6_1",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"NIC.7_1",0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0
"NIC.8_1",0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1
"NIC.9_1",1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0
"NIC.10_1",0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1
"NIC.11_1",0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
"NIC.12_1",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
"NIC.13_1",0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0
"NIC.14_1",0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
"NIC.15_1",1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
"NIC.16_1",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"NIC.17_1",0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"NIC.18_1",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
