"","Atlantico Norte","Atlantico Sur","Boaco","Carazo","Chinandega","Chontales","Esteli","Granada","Jinotega","Lago Nicaragua","Leon","Madriz","Managua","Masaya","Matagalpa","Nueva Segovia","Rio San Juan","Rivas"
"Atlantico Norte",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Atlantico Sur",1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"Boaco",0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
"Carazo",0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1
"Chinandega",0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
"Chontales",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"Esteli",0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0
"Granada",0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1
"Jinotega",1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0
"Lago Nicaragua",0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1
"Leon",0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
"Madriz",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
"Managua",0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0
"Masaya",0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
"Matagalpa",1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
"Nueva Segovia",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Rio San Juan",0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"Rivas",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
