"","PAN.1_1","PAN.2_1","PAN.3_1","PAN.4_1","PAN.5_1","PAN.6_1","PAN.7_1","PAN.8_1","PAN.9_1","PAN.10_1","PAN.12_1","PAN.11_1","PAN.13_1"
"PAN.1_1",0,1,0,0,0,0,0,0,0,1,0,0,0
"PAN.2_1",1,0,0,0,0,0,0,0,0,1,0,0,1
"PAN.3_1",0,0,0,1,0,0,1,0,0,0,0,1,1
"PAN.4_1",0,0,1,0,0,0,0,1,0,0,1,1,1
"PAN.5_1",0,0,0,0,0,1,0,1,0,0,1,0,0
"PAN.6_1",0,0,0,0,1,0,0,1,0,0,0,0,0
"PAN.7_1",0,0,1,0,0,0,0,0,1,0,0,0,1
"PAN.8_1",0,0,0,1,1,1,0,0,0,0,1,0,0
"PAN.9_1",0,0,0,0,0,0,1,0,0,0,0,0,1
"PAN.10_1",1,1,0,0,0,0,0,0,0,0,0,0,1
"PAN.12_1",0,0,0,1,1,0,0,1,0,0,0,1,0
"PAN.11_1",0,0,1,1,0,0,0,0,0,0,1,0,0
"PAN.13_1",0,1,1,1,0,0,1,0,1,1,0,0,0
