"","Bocas del Toro","Chiriqui","Cocle","Colon","Darien","Embera","Herrera","Kuna Yala","Los Santos","Ngobe Bugle","Panama","Panama Oeste","Veraguas"
"Bocas del Toro",0,1,0,0,0,0,0,0,0,1,0,0,0
"Chiriqui",1,0,0,0,0,0,0,0,0,1,0,0,1
"Cocle",0,0,0,1,0,0,1,0,0,0,0,1,1
"Colon",0,0,1,0,0,0,0,1,0,0,1,1,1
"Darien",0,0,0,0,0,1,0,1,0,0,1,0,0
"Embera",0,0,0,0,1,0,0,1,0,0,0,0,0
"Herrera",0,0,1,0,0,0,0,0,1,0,0,0,1
"Kuna Yala",0,0,0,1,1,1,0,0,0,0,1,0,0
"Los Santos",0,0,0,0,0,0,1,0,0,0,0,0,1
"Ngobe Bugle",1,1,0,0,0,0,0,0,0,0,0,0,1
"Panama",0,0,0,1,1,0,0,1,0,0,0,1,0
"Panama Oeste",0,0,1,1,0,0,0,0,0,0,1,0,0
"Veraguas",0,1,1,1,0,0,1,0,1,1,0,0,0
