"","Alto Paraguay","Alto Parana","Amambay","Asuncion","Boqueron","Caaguazu","Caazapa","Canindeyu","Central","Concepcion","Cordillera","Guaira","Itapua","Misiones","Neembucu","Paraguari","Presidente Hayes","San Pedro"
"Alto Paraguay",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"Alto Parana",0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
"Amambay",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"Asuncion",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"Boqueron",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Caaguazu",0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1
"Caazapa",0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0
"Canindeyu",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Central",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0
"Concepcion",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Cordillera",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1
"Guaira",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
"Itapua",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Misiones",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
"Neembucu",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
"Paraguari",0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0
"Presidente Hayes",1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
"San Pedro",0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0
