"","SLV.1_1","SLV.2_1","SLV.3_1","SLV.4_1","SLV.5_1","SLV.6_1","SLV.7_1","SLV.8_1","SLV.9_1","SLV.10_1","SLV.11_1","SLV.12_1","SLV.13_1","SLV.14_1"
"SLV.1_1",0,0,0,0,0,0,0,0,0,0,0,1,1,0
"SLV.2_1",0,0,1,1,0,0,0,0,1,0,1,0,0,0
"SLV.3_1",0,1,0,1,1,0,0,0,0,1,0,1,0,0
"SLV.4_1",0,1,1,0,0,1,0,0,0,1,1,0,0,0
"SLV.5_1",0,0,1,0,0,1,0,0,0,1,0,1,1,0
"SLV.6_1",0,0,0,1,1,0,0,0,0,1,1,0,0,0
"SLV.7_1",0,0,0,0,0,0,0,1,1,0,0,0,0,0
"SLV.8_1",0,0,0,0,0,0,1,0,1,0,0,0,0,0
"SLV.9_1",0,1,0,0,0,0,1,1,0,0,1,0,0,1
"SLV.10_1",0,0,1,1,1,1,0,0,0,0,0,0,0,0
"SLV.11_1",0,1,0,1,0,1,0,0,1,0,0,0,0,1
"SLV.12_1",1,0,1,0,1,0,0,0,0,0,0,0,1,0
"SLV.13_1",1,0,0,0,1,0,0,0,0,0,0,1,0,0
"SLV.14_1",0,0,0,0,0,0,0,0,1,0,1,0,0,0
