"","Ahuachapan","Cabanas","Chalatenango","Cuscatlan","La Libertad","La Paz","La Union","Morazan","San Miguel","San Salvador","San Vicente","Santa Ana","Sonsonate","Usulutan"
"Ahuachapan",0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Cabanas",0,0,1,1,0,0,0,0,1,0,1,0,0,0
"Chalatenango",0,1,0,1,1,0,0,0,0,1,0,1,0,0
"Cuscatlan",0,1,1,0,0,1,0,0,0,1,1,0,0,0
"La Libertad",0,0,1,0,0,1,0,0,0,1,0,1,1,0
"La Paz",0,0,0,1,1,0,0,0,0,1,1,0,0,0
"La Union",0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Morazan",0,0,0,0,0,0,1,0,1,0,0,0,0,0
"San Miguel",0,1,0,0,0,0,1,1,0,0,1,0,0,1
"San Salvador",0,0,1,1,1,1,0,0,0,0,0,0,0,0
"San Vicente",0,1,0,1,0,1,0,0,1,0,0,0,0,1
"Santa Ana",1,0,1,0,1,0,0,0,0,0,0,0,1,0
"Sonsonate",1,0,0,0,1,0,0,0,0,0,0,1,0,0
"Usulutan",0,0,0,0,0,0,0,0,1,0,1,0,0,0
