"","TTO.1_1","TTO.2_1","TTO.3_1","TTO.4_1","TTO.5_1","TTO.6_1","TTO.7_1","TTO.8_1","TTO.9_1","TTO.10_1","TTO.11_1","TTO.12_1","TTO.13_1","TTO.14_1","TTO.15_1"
"TTO.1_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TTO.2_1",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
"TTO.3_1",0,1,0,0,1,0,0,0,1,1,0,1,0,0,1
"TTO.4_1",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"TTO.5_1",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"TTO.6_1",0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"TTO.7_1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"TTO.8_1",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"TTO.9_1",0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
"TTO.10_1",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"TTO.11_1",0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
"TTO.12_1",0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"TTO.13_1",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"TTO.14_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTO.15_1",1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
