"","Arima","Chaguanas","Couva-Tabaquite-Talparo","Diego Martin","Mayaro/Rio Claro","Penal-Debe","Point Fortin","Port of Spain","Princes Town","San Fernando","San Juan-Laventille","Sangre Grande","Siparia","Tobago","Tunapuna/Piarco"
"Arima",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Chaguanas",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
"Couva-Tabaquite-Talparo",0,1,0,0,1,0,0,0,1,1,0,1,0,0,1
"Diego Martin",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Mayaro/Rio Claro",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"Penal-Debe",0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"Point Fortin",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Port of Spain",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Princes Town",0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
"San Fernando",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"San Juan-Laventille",0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
"Sangre Grande",0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"Siparia",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Tobago",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tunapuna/Piarco",1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
