"state","chsq.prob","odds","pval","cases_yearly","max_cases_monthly","cases_2years","max_gaplength","mean_gaplength","t_since_last_case","t_nocase_prior_lastcase","consecutive_cases_2yr"
"CAN.1_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"CAN.2_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"CAN.3_1",0.453849482513112,1.01906063917457,0.460302728760702,2,5,9,23,14.5,0,23,"N"
"CAN.4_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"CAN.5_1",0.676599636424592,1.0177073663215,0.680602924600695,0.2,1,1,36,30,24,36,"N"
"CAN.6_1",0.548222692275155,1.01835862161364,0.553677046506914,0.6,2,2,47,19.6666666666667,0,47,"N"
"CAN.7_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"CAN.8_1",0.548222692275155,1.01835862161364,0.553677046506914,1.2,4,4,47,19.6666666666667,0,47,"N"
"CAN.9_1",0.39845288640156,0.97439476583053,0.41128774470015,1,4,1,24,19.6666666666667,24,23,"N"
"CAN.10_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"CAN.11_1",0.178280903206938,1.04421002143475,0.210354962502529,1,3,2,35,19.6666666666667,0,35,"N"
"CAN.12_1",0.178280903206938,1.04421002143475,0.210354962502529,0.4,1,1,35,19.6666666666667,0,35,"N"
"CAN.13_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
