"state","chsq.prob","odds","pval","cases_yearly","max_cases_monthly","cases_2years","max_gaplength","mean_gaplength","t_since_last_case","t_nocase_prior_lastcase","consecutive_cases_2yr"
"CUB.1_1",0.764798587849004,0.991068699251349,0.765567611121905,0.8,3,1,46,19.6666666666667,8,46,"N"
"CUB.2_1",0.784417549990256,1.00428748007206,0.784551094199779,2.6,2,6,10,3.76923076923077,3,7,"Y"
"CUB.3_1",0.0939365147859937,1.03189869422519,0.105879445816408,1.6,2,5,19,6.75,6,4,"N"
"CUB.4_1",0.217851511684429,1.02456460981983,0.22799279909247,1.4,2,4,26,7.85714285714286,3,4,"Y"
"CUB.5_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"CUB.6_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"CUB.7_1",0.00273625996848081,1.06093418333503,0.00738316869704251,3.4,6,16,34,5.88888888888889,5,6,"Y"
"CUB.8_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"CUB.9_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"CUB.10_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"CUB.11_1",0.00103262499009649,1.05546499300173,0.00266965515294305,3.4,3,12,12,3.13333333333333,1,0,"Y"
"CUB.12_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"CUB.13_1",0.0534100581655197,1.03054807526598,0.0607864422522248,7.8,10,23,7,1.81818181818182,0,0,"Y"
"CUB.14_1",0.647664138612837,0.992689249760493,0.648285429206767,2.2,2,4,16,4.63636363636364,14,5,"Y"
"CUB.15_1",0.000940844877730052,1.05572347255111,0.00248003397366506,9,5,18,21,1.69565217391304,0,7,"Y"
"CUB.16_1",0.383668644437633,1.0133391101094,0.386488644597161,4.4,3,11,12,2.875,3,0,"Y"
