"state","chsq.prob","odds","pval","cases_yearly","max_cases_monthly","cases_2years","max_gaplength","mean_gaplength","t_since_last_case","t_nocase_prior_lastcase","consecutive_cases_2yr"
"DOM.1_1",0.271335234599039,1.04093192066828,0.30195823184484,0.4,2,0,32,30,28,32,"N"
"DOM.2_1",0.719444467154362,1.01084563611559,0.720750256533407,0.4,1,1,27,19.6666666666667,12,27,"N"
"DOM.3_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"DOM.4_1",0.604940362625098,0.992262765656926,0.605675132952246,5,3,10,15,2.44444444444444,0,0,"Y"
"DOM.5_1",0.000000708295960660799,0.872968415149873,0.000711013248069701,2.4,3,0,40,5.88888888888889,40,1,"N"
"DOM.6_1",0.0014004991680282,1.1840297507445,0.0475679417368832,0.4,1,2,49,19.6666666666667,1,9,"N"
"DOM.7_1",0.223065385928606,1.03937602957814,0.250439975896012,0.4,1,1,31,19.6666666666667,9,19,"N"
"DOM.8_1",0.0136273534528171,0.929352828499362,0.0379732759200596,0.6,1,0,34,14.5,34,9,"N"
"DOM.9_1",0.548222692275155,1.01835862161364,0.553677046506915,0.4,1,1,33,19.6666666666667,21,5,"N"
"DOM.10_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"DOM.11_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"DOM.12_1",0.0331577178202225,0.958605198848823,0.0453428663226342,1.2,1,1,22,7.85714285714286,5,22,"N"
"DOM.13_1",0.583650546640817,0.98637064574509,0.586517510649418,0.6,1,0,25,14.5,25,4,"N"
"DOM.14_1",0.867976655970435,0.993106254201795,0.868248185579694,0.2,1,0,31,30,31,29,"N"
"DOM.15_1",0.933794788370275,0.996554330136858,0.933828984338662,0.2,1,0,30,30,30,30,"N"
"DOM.16_1",0.867976655970435,1.00694159942004,0.868248185579695,0.2,1,0,33,30,27,33,"N"
"DOM.17_1",0.842375779942565,1.00495849120171,0.842531356568319,0.6,1,1,29,14.5,24,3,"N"
"DOM.18_1",0.399103961618431,0.983089041479196,0.404335788359549,1,1,1,17,9.33333333333333,17,11,"N"
"DOM.19_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"DOM.20_1",0.692750828787528,1.00872875968549,0.693620988794445,0.8,1,1,26,11.4,2,26,"N"
"DOM.21_1",0.287570284295089,0.980674557400199,0.294314576125472,1.4,1,2,20,6.75,20,3,"N"
"DOM.22_1",0.543234686731071,0.988295063535325,0.54535549064165,1.2,1,1,18,7.85714285714286,12,18,"N"
"DOM.23_1",0.000487625971634986,0.902491630924105,0.00818231709521626,0.8,1,0,42,11.4,42,2,"N"
"DOM.24_1",0.00148814601888581,0.94961840551377,0.00341437340767119,7.4,5,3,13,1.95238095238095,13,0,"Y"
"DOM.25_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"DOM.26_1",0.00386708032360439,1.06917659960571,0.0122891148610789,2.6,5,12,29,7.85714285714286,0,2,"Y"
"DOM.27_1",0.683707122337223,0.992640197692667,0.684314726401037,1.4,1,2,19,6.75,0,5,"N"
"DOM.28_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"DOM.30_1",0.514686218617327,1.010698435571,0.516367569831006,2.4,2,5,18,4.63636363636364,8,3,"Y"
"DOM.29_1",0.0251319262129825,0.919441923191372,0.0715798649604408,0.4,1,0,37,19.6666666666667,37,18,"N"
"DOM.31_1",0.0699680095874817,1.26690770115695,0.318510017428732,44.4,11,68,2,0.127272727272727,0,0,"Y"
"DOM.32_1",0.350114732228774,1.04247875386151,0.383156324695562,0.2,1,1,42,30,18,42,"N"
