"state","chsq.prob","odds","pval","cases_yearly","max_cases_monthly","cases_2years","max_gaplength","mean_gaplength","t_since_last_case","t_nocase_prior_lastcase","consecutive_cases_2yr"
"GTM.1_1",0.341325821278136,0.976086823069733,0.352559971363925,0.6,1,0,32,14.5,32,3,"N"
"GTM.2_1",0.427983085428094,1.01775061734745,0.433554917079619,1,1,3,42,9.33333333333333,0,0,"Y"
"GTM.3_1",0.000000059133303254022,80429378782945280000,0.999548752900278,0.4,1,2,58,19.6666666666667,0,1,"N"
"GTM.4_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"GTM.5_1",0.00318220963623628,1.50772633135355,0.161936990083142,0.2,1,1,58,30,2,58,"N"
"GTM.6_1",0.895307395979324,0.997117470008568,0.895341737509508,0.8,1,1,29,11.4,2,29,"N"
"GTM.7_1",0.318823380294047,0.980706760257003,0.325725241469185,2,3,6,29,7.85714285714286,1,0,"Y"
"GTM.8_1",0.0000480610940176707,0.928089252771717,0.000518918002459914,7.6,5,0,29,2.44444444444444,29,0,"N"
"GTM.9_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"GTM.10_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"GTM.11_1",0.0219487512191574,1.06842381302103,0.0479056781941746,1.8,3,8,38,11.4,0,0,"Y"
"GTM.12_1",0.092822311867704,1.04610379514223,0.119074231339838,0.8,2,3,49,14.5,0,1,"N"
"GTM.13_1",8.16203660214398e-10,0.87165190272856,0.0000301521027160067,12,7,4,27,1.06666666666667,1,0,"Y"
"GTM.14_1",0.00000455061577087079,0.920993419994419,0.000132387663775762,13,5,9,27,1.38461538461538,0,0,"Y"
"GTM.15_1",0.0880571332605963,0.972308497041979,0.0968151941608174,5.2,7,2,28,3.42857142857143,1,0,"Y"
"GTM.16_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"GTM.17_1",0.000908593095679699,0.944199249475853,0.00270738581295031,4.4,6,4,27,3.42857142857143,1,0,"Y"
"GTM.18_1",0.0870071989697748,0.933036595844398,0.146390716395608,0.4,1,0,38,19.6666666666667,38,20,"N"
"GTM.19_1",0.104695707915244,0.966708480769774,0.119771813942619,1.4,2,1,39,9.33333333333333,1,39,"N"
"GTM.20_1",0.132553902667149,0.976780081538221,0.139810282915864,8.6,6,2,28,2.1,0,1,"N"
"GTM.21_1",0.628975570738106,0.989413146522269,0.630507124443349,0.8,1,1,26,11.4,2,26,"N"
"GTM.22_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
