"state","chsq.prob","odds","pval","cases_yearly","max_cases_monthly","cases_2years","max_gaplength","mean_gaplength","t_since_last_case","t_nocase_prior_lastcase","consecutive_cases_2yr"
"HND.1_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"HND.2_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"HND.3_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"HND.4_1",0.000000327037496306026,0.884197970350016,0.000267127406288185,3.8,5,0,33,4.63636363636364,33,4,"N"
"HND.5_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"HND.6_1",0.113777035259114,0.970901827618386,0.125354948280509,3.8,4,0,28,5.2,28,2,"N"
"HND.7_1",0.227013116294173,1.05828534365267,0.283564216352572,0.2,1,1,45,30,15,45,"N"
"HND.8_1",0.397598726817062,1.0378691053425,0.423746535223687,0.2,1,1,41,30,19,41,"N"
"HND.9_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"HND.10_1",0.376927205678596,0.975882545518254,0.388358345541679,0.6,1,1,26,14.5,19,26,"N"
"HND.11_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"HND.12_1",0.103695544694845,0.957512314302442,0.12938118600367,1.2,3,2,26,14.5,21,26,"N"
"HND.13_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"HND.14_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"HND.15_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"HND.16_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"HND.17_1",0.0251319262129825,0.919441923191372,0.0715798649604408,0.6,2,0,43,19.6666666666667,43,6,"N"
"HND.18_1",0.546791482475408,1.00988440100309,0.548162351643123,3.4,4,7,21,3.42857142857143,14,0,"Y"
