"state","chsq.prob","odds","pval","cases_yearly","max_cases_monthly","cases_2years","max_gaplength","mean_gaplength","t_since_last_case","t_nocase_prior_lastcase","consecutive_cases_2yr"
"PRI.1_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"PRI.2_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"PRI.3_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"PRI.4_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"PRI.5_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"PRI.6_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"PRI.7_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"PRI.8_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"PRI.9_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"PRI.10_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"PRI.11_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"PRI.12_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"PRI.13_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"PRI.14_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"PRI.15_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"PRI.16_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"PRI.17_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"PRI.18_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"PRI.19_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"PRI.20_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"PRI.21_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"PRI.22_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"PRI.23_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"PRI.24_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"PRI.25_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
