"state","chsq.prob","odds","pval","cases_yearly","max_cases_monthly","cases_2years","max_gaplength","mean_gaplength","t_since_last_case","t_nocase_prior_lastcase","consecutive_cases_2yr"
"SLV.1_1",0.02242607101852,0.941625681335123,0.0436705782291518,0.8,1,1,25,11.4,22,25,"N"
"SLV.2_1",0.00000205673913833415,0.777972407034022,0.0111021750625947,1,2,0,48,11.4,48,2,"N"
"SLV.3_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"SLV.4_1",0.00013033277844221,0.903241238309728,0.00349217885709201,1,1,0,38,9.33333333333333,38,6,"N"
"SLV.5_1",1,1,0.999999999999999,0.4,1,1,37,19.6666666666667,10,37,"N"
"SLV.6_1",0.81091089518518,1.00719119262759,0.811310205625939,0.4,1,1,47,19.6666666666667,3,47,"N"
"SLV.7_1",0.00000132072903857861,0.847772320264325,0.00242117111075582,1.2,1,0,44,7.85714285714286,44,0,"N"
"SLV.8_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"SLV.9_1",0.00000000741728589659374,0.863045327748442,0.000142899314848235,2.6,2,0,33,4.16666666666667,33,4,"N"
"SLV.10_1",0.0000100467305620411,0.897287852330326,0.000937644073835538,1.8,2,0,27,5.88888888888889,27,15,"N"
"SLV.11_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"SLV.12_1",0.548222692275155,0.981972341350095,0.553677046506915,0.4,1,0,28,19.6666666666667,28,11,"N"
"SLV.13_1",0.0000236671126758736,0.859739598261024,0.00596115357391932,1.4,2,0,46,9.33333333333333,46,1,"N"
"SLV.14_1",0.000000324329183620797,0.897573642920321,0.000113702892533388,4.8,5,1,26,3.42857142857143,10,26,"N"
