"state","chsq.prob","odds","pval","cases_yearly","max_cases_monthly","cases_2years","max_gaplength","mean_gaplength","t_since_last_case","t_nocase_prior_lastcase","consecutive_cases_2yr"
"VEN.1_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"VEN.2_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"VEN.3_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"VEN.4_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"VEN.5_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"VEN.6_1",0.0000281715906852442,1.70588551510576e-20,0.999515740521345,0.2,1,0,58,30,58,2,"N"
"VEN.7_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"VEN.8_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"VEN.9_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"VEN.10_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"VEN.11_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"VEN.12_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"VEN.13_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"VEN.14_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"VEN.15_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"VEN.16_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"VEN.17_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"VEN.18_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"VEN.19_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"VEN.20_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"VEN.21_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"VEN.22_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"VEN.23_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"VEN.24_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"VEN.25_1",0.0165087171893779,0.962941715351529,0.0220022106679917,5.2,4,12,12,1.81818181818182,12,2,"Y"
